oklam	[ˈoklam]
moréna	[ˈmorɛːna]
morf	[ˈmorf]
morfém	[ˈmorfɛːm]
morfin	[ˈmorfɪn]
morfolog	[ˈmorfolok]
morfologický	[ˈmorfoloɡɪt͡skiː]
morfologie	[ˈmorfoloɡɪjɛ]
morgenštern	[ˈmorɡɛnʃtɛrn]
morous	[ˈmorou̯s]
morový	[ˈmoroviː]
mortalita	[ˈmortalɪta]
moruše	[ˈmoruʃɛ]
morušový	[ˈmoruʃoviː]
morčák	[ˈmort͡ʃaːk]
morče	[ˈmort͡ʃɛ]
moskevský	[ˈmoskɛfskiː]
Moskva	[ˈmoskva]
Moskvan	[ˈmoskvan]
most	/most/
mostek	[ˈmostɛk]
mostík	[ˈmosciːk]
moták	[ˈmotaːk]
motat	[ˈmotat]
motel	[ˈmotɛl]
motiv	[ˈmotɪf]
motivace	[ˈmotɪvat͡sɛ]
motivovat	[ˈmotɪvovat]
Motloch	[ˈmotlox]
motocykl	[ˈmotot͡sɪkl̩]
motocyklista	[ˈmotot͡sɪklɪsta]
motocyklistka	[ˈmotot͡sɪklɪstka]
motolice	[ˈmotolɪt͡sɛ]
motor	/ˈmotor/
motorek	[ˈmotorɛk]
motorický	[ˈmotorɪt͡skiː]
motorika	[ˈmotorɪka]
motorista	[ˈmotorɪsta]
motorka	/ˈmotorka/
motorový	[ˈmotoroviː]
motouz	[ˈmotou̯s]
motto	[ˈmoto]
motyka	[ˈmotɪka]
motýl	/ˈmotiːl/
motýlek	/motiːlɛk/
motýlí	[ˈmotiːliː]
motýlice	[ˈmotiːlɪt͡sɛ]
moucha	/ˈmou̯xa/
mouchou	[ˈmou̯xou̯]
mouchu	[ˈmou̯xu]
mouchy	[ˈmou̯xɪ]
moudivláček	[mouɟɪvl̩aːtʃɛk]
moudrá	[ˈmou̯draː]
moudré	[ˈmou̯drɛː]
moudro	[ˈmou̯dro]
moudrost	[ˈmou̯drost]
moudrý	[ˈmou̯driː]
Moudrý	[ˈmou̯driː]
moudře	[ˈmou̯dr̝ɛ]
moudřejší	[ˈmou̯dr̝ɛjʃiː]
moudří	[ˈmou̯dr̝iː]
mouka	[ˈmou̯ka]
mour	/moʊ̯r/
moure	/ˈmoʊ̯rɛ/
mourem	/ˈmoʊ̯rɛm/
moučník	[ˈmou̯t͡ʃɲiːk]
mouše	[ˈmou̯ʃɛ]
mozambický	[ˈmozambɪt͡skiː]
Mozambik	[ˈmozambɪk]
Mozambičan	[ˈmozambɪt͡ʃan]
mozek	[ˈmozɛk]
mozeček	[ˈmozɛt͡ʃɛk]
mozkomíšní	[ˈmoskomiːʃɲiː]
mozkomíšní mok	[moskomiːʃɲiː mok]
mozkomor	/ˈmoskomor/
mozková hemisféra	[moskovaː ɦɛmɪsfɛːra]
mozková kůra	[moskovaː kuːra]
mozkovna	[ˈmoskovna]
mozkový	[ˈmoskoviː]
mozkový kmen	[moskoviː kmɛn]
mozkový nerv	[moskoviː nɛrf]
mozkový trámec	[moskoviː traːmɛt͡s]
mozol	[ˈmozol]
moč	[ˈmot͡ʃ]
močál	[ˈmot͡ʃaːl]
močan	[ˈmot͡ʃan]
močení	[ˈmot͡ʃɛɲiː]
močit	[ˈmot͡ʃɪt]
močka	[ˈmot͡ʃka]
močová trubice	[mot͡ʃovaː trubɪt͡sɛ]
močové ústrojí	[mot͡ʃovɛː uːstrojiː]
močovina	[ˈmot͡ʃovɪna]
močovod	[ˈmot͡ʃovot]
močový	[ˈmot͡ʃoviː]
močový měchýř	[mot͡ʃoviː mɲɛxiːr̝̊]
močůvka	/ˈmot͡ʃuːfka/
Móňa	[ˈmoːɲa]
moř	[ˈmor̝̊]
moře	/mor̝ɛ/
mořem	[ˈmor̝ɛm]
mořen	[ˈmor̝ɛn]
mořena	[ˈmor̝ɛna]
mořeni	[ˈmor̝ɛɲɪ]
mořeno	[ˈmor̝ɛno]
kochaly	[ˈkoxalɪ]
kochalo	[ˈkoxalo]
kochala	[ˈkoxala]
kochal	[ˈkoxal]
vítány	[ˈviːtaːnɪ]
vítaly	[ˈviːtalɪ]
vítali	[ˈviːtalɪ]
vítalo	[ˈviːtalo]
vítala	[ˈviːtala]
vítal	[ˈviːtal]
poháre	[ˈpoɦaːrɛ]
chobotnice	[ˈxobotɲɪt͡sɛ]
zápěstí	[ˈzaːpjɛsciː]
metrosexuál	[ˈmɛtrosɛksuaːl]
hodně štěstí!	[ɦodɲɛ ʃcɛsciː]
dobrou noc	[dobrou̯ not͡s]
děkuji	[ˈɟɛkujɪ]
babička	/ˈbabɪt͡ʃka/
Kolumbie	[ˈkolumbɪjɛ]
Kolik je hodin?	[kolɪk jɛ ɦoɟɪn]
mořeny	[ˈmor̝ɛnɪ]
mořeplavba	[ˈmor̝ɛplavba]
mořeplavec	[ˈmor̝ɛplavɛt͡s]
moři	[ˈmor̝ɪ]
moří	[ˈmor̝iː]
Mořic	[ˈmor̝ɪt͡s]
moříc	[ˈmor̝iːt͡s]
moříce	[ˈmor̝iːt͡sɛ]
mořích	[ˈmor̝iːx]
mořil	[ˈmor̝ɪl]
mořila	[ˈmor̝ɪla]
mořili	[ˈmor̝ɪlɪ]
mořilo	[ˈmor̝ɪlo]
mořily	[ˈmor̝ɪlɪ]
mořím	[ˈmor̝iːm]
moříme	[ˈmor̝iːmɛ]
mořit	/ˈmor̝ɪt/
moříte	[ˈmor̝iːtɛ]
moříš	[ˈmor̝iːʃ]
mořme	[ˈmor̝mɛ]
mořská houba	[mor̝̊skaː ɦou̯ba]
mořský	/ˈmor̝̊skiː/
mořte	[ˈmor̝̊tɛ]
mošt	[ˈmoʃt]
moždíř	[ˈmoʒɟiːr̝̊]
možná	/ˈmoʒnaː/
možný	/ˈmoʒniː/
mrak	/mrak/
mrakodrap	[ˈmrakodrap]
mramor	/mramɔr/
mrav	[ˈmraf]
mravenec	[ˈmravɛnɛt͡s]
mravenečník	[ˈmravɛnɛt͡ʃɲiːk]
mraveniště	[ˈmravɛɲɪʃcɛ]
mravenčan	[ˈmravɛnt͡ʃan]
mravenčení	[ˈmravɛnt͡ʃɛɲiː]
mravenčí	[ˈmravɛnt͡ʃiː]
mravní	[ˈmravɲiː]
mravný	[ˈmravniː]
mravokárce	[ˈmravokaːrt͡sɛ]
mravověda	[ˈmravovjɛda]
mravovědec	[ˈmravovjɛdɛt͡s]
mravovědný	[ˈmravovjɛdniː]
mráz	/mraːs/
mrazík	[ˈmraziːk]
mrazit	[ˈmrazɪt]
mrazivost	[ˈmrazɪvost]
mrazivý	[ˈmrazɪviː]
mrazivě	[ˈmrazɪvjɛ]
mraznička	[ˈmrazɲɪt͡ʃka]
mráček	[ˈmraːt͡ʃɛk]
mračit	[ˈmrat͡ʃɪt]
mračoun	[ˈmrat͡ʃou̯n]
mrcha	[ˈmr̩xa]
mrchožrout	[ˈmr̩xoʒrou̯t]
mrdat	[ˈmr̩dat]
mrdačka	[ˈmr̩dat͡ʃka]
mrdka	[ˈmr̩tka]
mrdník	[ˈmr̩dɲiːk]
mrhat	[ˈmr̩ɦat]
mrholení	[ˈmr̩ɦolɛɲiː]
mrholit	[ˈmr̩ɦolɪt]
mrkat	/ˈmr̩.kat/
mrkev	/mr̩kɛv/
mrkl	[ˈmr̩kl̩]
mrknout	[ˈmr̩knou̯t]
mrknutí	[ˈmr̩knuciː]
mrkvička	[ˈmr̩kvɪt͡ʃka]
mrmlat	[ˈmrm̩lat]
mrně	[ˈmr̩ɲɛ]
mrož	[ˈmroʃ]
mroží	[ˈmroʒiː]
mrti	[ˈmr̩cɪ]
mrtí	[ˈmr̩ciː]
mrtvice	[ˈmr̩tvɪt͡sɛ]
mrtvička	[ˈmr̩tvɪt͡ʃka]
mrtvola	[ˈmr̩tvola]
mrtvolka	[ˈmr̩tvolka]
mrtvý	/ˈmr̩tviː/
mrtě	[ˈmr̩cɛ]
mrzák	[ˈmr̩zaːk]
mrzet	[ˈmr̩zɛt]
mrzl	[ˈmr̩zl̩]
mrznout	/ˈmr̩znɔʊ̯t/
mrzout	[ˈmr̩zou̯t]
mršina	[ˈmr̩ʃɪna]
mrška	[ˈmr̩ʃka]
mrť	[ˈmr̩c]
msta	[ˈmsta]
mstít	/ˈmsciːt/
mstitel	[ˈmscɪtɛl]
mstivý	/mscɪviː/
	[ˈmu]
much	/mux/
mucha	[Ëˆmuxa]
Mucha	[ˈmuxa]
muchlat	[ˈmuxlat]
muchomůrka	[ˈmuxomuːrka]
muchomůrka růžovka	[muxomuːrka ruːʒofka]
mudrc	[ˈmudr̩t͡s]
mufloní	[ˈmufloɲiː]
muflonka	[ˈmufloŋka]
můj	/muːj/
muka	[ˈmuka]
mul	[ˈmul]
mula	[ˈmula]
mulat	/mulat/
mulatka	[ˈmulatka]
multilaterální	[ˈmultɪlatɛraːlɲiː]
multinomické rozdělení	[multɪnomɪt͡skɛː rozɟɛlɛɲiː]
multiplikátor	[ˈmultɪplɪkaːtor]
multiverzum	[ˈmultɪvɛrzum]
multivesmír	[ˈmultɪvɛsmiːr]
mumlat	[Ëˆmumlat]
munice	[ˈmunɪt͡sɛ]
můra	[ˈmuːra]
musejí	[ˈmusɛjiː]
musel	[ˈmusɛl]
musela	[ˈmusɛla]
muset	/ˈmusɛt/
musí	[ˈmusiː]
Musil	[ˈmusɪl]
Musilová	[ˈmusɪlovaː]
musím	[ˈmusiːm]
musíme	/mʊsiːmɛ/
musit	/ˈmusɪt/
musíte	[ˈmusiːtɛ]
musíš	/ˈmʊsiːʃ/
muslimka	[ˈmuslɪmka]
můstek	/muːstɛk/
mutace	[ˈmutat͡sɛ]
mutagenní	[ˈmutaɡɛɲiː]
mutant	[ˈmutant]
mutovat	[ˈmutovat]
mutr	[ˈmutr̩]
mutualismus	[ˈmutualɪzmus]
múza	[ˈmuːza]
muzeum	/ˈmuzɛum/
muzicírovat	[ˈmuzɪt͡siːrovat]
muzika	[ˈmuzɪka]
muzikál	[ˈmuzɪkaːl]
muzikant	[ˈmuzɪkant]
muzikantka	[ˈmuzɪkantka]
muzikolog	[ˈmuzɪkolok]
muzikologie	[ˈmuzɪkoloɡɪjɛ]
mučednice	[ˈmut͡ʃɛdɲɪt͡sɛ]
mučedník	[ˈmut͡ʃɛdɲiːk]
mučení	[ˈmut͡ʃɛɲiː]
mučit	[ˈmut͡ʃɪt]
mučitel	[ˈmut͡ʃɪtɛl]
muňka	[ˈmuɲka]
muří	[ˈmur̝iː]
můří	[ˈmuːr̝iː]
muší	[ˈmuʃiː]
muška	[ˈmuʃka]
muškát	[ˈmuʃkaːt]
muškátovník	[ˈmuʃkaːtovɲiːk]
muškátový	[ˈmuʃkaːtoviː]
mušketýr	/mʊʃkɛtiːr/
mušle	[muʃle]
muž	[ˈmuʃ]
muže	[ˈmuʒɛ]
může	/muːʒɛ/
mužem	[ˈmuʒɛm]
můžeme	[ˈmuːʒɛmɛ]
můžete	[ˈmuːʒɛtɛ]
můžeš	/muːʒɛʃ/
muži	/ˈmʊʒɪ/
mužích	[ˈmuʒiːx]
mužný	[ˈmuʒniː]
můžou	[ˈmuːʒou̯]
mužové	[ˈmuʒovɛː]
mužovi	[ˈmuʒovɪ]
mužský	/ˈmuʃskiː/
mužství	/ˈmuʃstviː/
mužů	[ˈmuʒuː]
můžu	[ˈmuːʒu]
mužům	[ˈmuʒuːm]
mužův	[ˈmuʒuːf]
	/mɪ/
Myanmar	[ˈmɪjanmar]
myanmarský	[ˈmɪjanmarskiː]
mydlit	[ˈmɪdlɪt]
mýdlo	/ˈmiːdlo/
mýdlový	[ˈmiːdloviː]
mykénský	[ˈmɪkɛːnskiː]
Mykény	[ˈmɪkɛːnɪ]
Mykéňan	[ˈmɪkɛːɲan]
mykobakterie	[ˈmɪkobaktɛrɪjɛ]
mykolog	[ˈmɪkolok]
mykologický	[ˈmɪkoloɡɪt͡skiː]
mykologie	[ˈmɪkoloɡɪjɛ]
mykotický	[ˈmɪkotɪt͡skiː]
mykóza	[ˈmɪkoːza]
mykóza nohou	[mɪkoːza noɦou̯]
mýlit	[ˈmiːlɪt]
mýlit se je lidské	[miːlɪt sɛ jɛ lɪtskɛː]
mýlka	[ˈmiːlka]
mylný	[ˈmɪlniː]
myokarditida	[ˈmɪokardɪtɪda]
kochaly	[ˈkoxalɪ]
kochalo	[ˈkoxalo]
kochala	[ˈkoxala]
kochal	[ˈkoxal]
vítány	[ˈviːtaːnɪ]
vítaly	[ˈviːtalɪ]
vítali	[ˈviːtalɪ]
vítalo	[ˈviːtalo]
vítala	[ˈviːtala]
vítal	[ˈviːtal]
poháre	[ˈpoɦaːrɛ]
chobotnice	[ˈxobotɲɪt͡sɛ]
zápěstí	[ˈzaːpjɛsciː]
metrosexuál	[ˈmɛtrosɛksuaːl]
hodně štěstí!	[ɦodɲɛ ʃcɛsciː]
dobrou noc	[dobrou̯ not͡s]
děkuji	[ˈɟɛkujɪ]
babička	/ˈbabɪt͡ʃka/
Kolumbie	[ˈkolumbɪjɛ]
Kolik je hodin?	[kolɪk jɛ ɦoɟɪn]
myrotočec	[ˈmɪrotot͡ʃɛt͡s]
myrotočivý	[ˈmɪrotot͡ʃɪviː]
mys	[ˈmɪs]
mysl	[ˈmɪsl̩]
myslel	[ˈmɪslɛl]
myslet	/ˈmɪslɛt/
mysli	/mɪslɪ/
myslím	[ˈmɪsliːm]
myslit	/mɪsl̩ɪt/
myslitel	[ˈmɪslɪtɛl]
myslitelnost	[ˈmɪslɪtɛlnost]
myslitelný	[ˈmɪslɪtɛlniː]
myslíš	/mɪsliːʃ/
mystický	[ˈmɪstɪt͡skiː]
mýt	/miːt/
mytický	[ˈmɪtɪt͡skiː]
mýtné	[ˈmiːtnɛː]
mýto	[ˈmiːto]
mytolog	[ˈmɪtolok]
mytologicky	[ˈmɪtoloɡɪt͡skɪ]
mytologický	[ˈmɪtoloɡɪt͡skiː]
mytologie	[ˈmɪtoloɡɪjɛ]
mýtus	[ˈmiːtus]
mýval	[ˈmiːval]
mývalí	[ˈmiːvaliː]
myčka	[ˈmɪt͡ʃka]
myš	[ˈmɪʃ]
myšák	[ˈmɪʃaːk]
myší	[ˈmɪʃiː]
myška	/ˈmɪʃka/
Myška	[ˈmɪʃka]
myšlení	[ˈmɪʃlɛɲiː]
myšlenka	[ˈmɪʃlɛŋka]
myšlenkový	[ˈmɪʃlɛŋkoviː]
mzda	[ˈmzda]
mzdový	[ˈmzdoviː]
müsli	/mɪslɪ/
	/mɲɛ/
měch	/mɲɛx/
měchýř	[ˈmɲɛxiːr̝̊]
mědikovec	[ˈmɲɛɟɪkovɛt͡s]
měděný	[ˈmɲɛɟɛniː]
měj	[ˈmɲɛj]
měj se hezky	[mɲɛj sɛ ɦɛskɪ]
mějme	[ˈmɲɛjmɛ]
mějte	[ˈmɲɛjtɛ]
mějte hezký den	[mɲɛjtɛ ɦɛskiː dɛn]
měkké patro	[mɲɛkɛː patro]
měkkost	[ˈmɲɛkost]
měkký	[ˈmɲɛkiː]
měkkýš	[ˈmɲɛkiːʃ]
měknout	[ˈmɲɛknou̯t]
měl	[ˈmɲɛl]
měla	[ˈmɲɛla]
měli	[ˈmɲɛlɪ]
mělký	[ˈmɲɛlkiː]
Mělník	[ˈmɲɛlɲiːk]
Mělničan	[ˈmɲɛlɲɪt͡ʃan]
mělo	[ˈmɲɛlo]
měly	[ˈmɲɛlɪ]
mělčina	[ˈmɲɛlt͡ʃɪna]
měna	[ˈmɲɛna]
mění	[ˈmɲɛɲiː]
měníc	[ˈmɲɛɲiːt͡s]
měníce	[ˈmɲɛɲiːt͡sɛ]
měnil	[ˈmɲɛɲɪl]
měním	[ˈmɲɛɲiːm]
měníme	[ˈmɲɛɲiːmɛ]
měnit	/ˈmjɛɲɪt/
měníte	[ˈmɲɛɲiːtɛ]
měníš	[ˈmɲɛɲiːʃ]
měnová krize	[mɲɛnovaː krɪzɛ]
měnová reforma	[mɲɛnovaː rɛforma]
měnové riziko	[mɲɛnovɛː rɪzɪko]
měnový	[ˈmɲɛnoviː]
měnový kurz	[mɲɛnoviː kurs]
měnový trh	[mɲɛnoviː tr̩x]
měně	[ˈmɲɛɲɛ]
měněn	[ˈmɲɛɲɛn]
měněna	[ˈmɲɛɲɛna]
měr	[ˈmɲɛr]
měrách	[ˈmɲɛraːx]
měrám	[ˈmɲɛraːm]
měrami	[ˈmɲɛramɪ]
měrný	[ˈmɲɛrniː]
měrný systém	[mɲɛrniː sɪstɛːm]
měrou	[ˈmɲɛrou̯]
měsíc	[ˈmɲɛsiːt͡s]
Měsíc	/mɲɛsiːts/
měsíček	[ˈmɲɛsiːt͡ʃɛk]
měsíčky	[ˈmɲɛsiːt͡ʃkɪ]
měsíční	[ˈmɲɛsiːt͡ʃɲiː]
měsíčník	[ˈmɲɛsiːt͡ʃɲiːk]
měsíčně	[ˈmɲɛsiːt͡ʃɲɛ]
měst	[ˈmɲɛst]
města	[ˈmɲɛsta]
městech	[ˈmɲɛstɛx]
městem	[ˈmɲɛstɛm]
městečko	[ˈmɲɛstɛt͡ʃko]
město	/ˈmɲɛsto/
městský	[ˈmɲɛstskiː]
městu	[ˈmɲɛstu]
městům	[ˈmɲɛstuːm]
městy	[ˈmɲɛstɪ]
městys	[ˈmɲɛstɪs]
městě	[ˈmɲɛscɛ]
měď	/mɲɛc/
měďák	[ˈmɲɛɟaːk]
měň	[ˈmɲɛɲ]
měňme	[ˈmɲɛɲmɛ]
měňte	[ˈmɲɛɲtɛ]
měř	[ˈmɲɛr̝̊]
měřen	[ˈmɲɛr̝ɛn]
měření	[ˈmɲɛr̝ɛɲiː]
měřený	[ˈmɲɛr̝ɛniː]
měří	[ˈmɲɛr̝iː]
měřící	[ˈmɲɛr̝iːt͡siː]
měřící přístroj	[mɲɛr̝iːt͡siː pr̝̊iːstroj]
měřicí zařízení	[mɲɛr̝iːt͡siː zar̝iːzɛɲiː]
měřidlo	[ˈmɲɛr̝ɪdlo]
měřil	[ˈmɲɛr̝ɪl]
měřím	[ˈmɲɛr̝iːm]
měřit	/ˈmɲɛr̝ɪt/
měříte	[ˈmɲɛr̝iːtɛ]
měřitelnost	[ˈmɲɛr̝ɪtɛlnost]
měřitelný	[ˈmɲɛr̝ɪtɛlniː]
měřítko	[ˈmɲɛr̝iːtko]
měříš	[ˈmɲɛr̝iːʃ]
měřme	[ˈmɲɛr̝mɛ]
měřte	[ˈmɲɛr̝̊tɛ]
měšťácký	[ˈmɲɛʃcaːt͡skiː]
měšťák	[ˈmɲɛʃcaːk]
mňam	/mɲam/
mňamózní	[ˈmɲamoːzɲiː]
mňau	[ˈmɲau̯]
mňoukat	[ˈmɲou̯kat]
mřít	[ˈmr̝iːt]
mše	[ˈmʃɛ]
mšice	[ˈmʃɪt͡sɛ]
mžení	[ˈmʒɛɲiː]
mžourat	[ˈmʒou̯rat]
-na	[ˈna]
na	/na/
na bíledni	[na biːlɛdɲɪ]
na druhou stranu	[na druɦou̯ stranu]
na koleně	[na kolɛɲɛ]
na líc	[na liːt͡s]
na mizině	[na mɪzɪɲɛ]
na oplátku	[na oplaːtku]
na pokraji	[na pokrajɪ]
na rozdíl od	[na rozɟiːl ot]
na ruby	[na rubɪ]
na shledanou	[ˈnasxlɛdanou̯]
na to šup	[na to ʃup]
na úkor	[na uːkor]
na zdraví	/ˈna zdɾaviː/
nabídka	[ˈnabiːtka]
nabídnout	/ˈnabiːdnou̯t/
nabíjet	[ˈnabiːjɛt]
nabíječka	[ˈnabiːjɛt͡ʃka]
nabíledni	[ˈnabiːlɛdɲɪ]
nabít	[ˈnabiːt]
nabízet	/ˈnabiːzɛt/
náboj	[ˈnaːboj]
nábojnice	[ˈnaːbojɲɪt͡sɛ]
nabonzovat	[ˈnabonzovat]
náboženský	[ˈnaːboʒɛnskiː]
náboženský řád	[naːboʒɛnskiː r̝aːt]
náboženství	[ˈnaːboʒɛnstviː]
nábytek	[ˈnaːbɪtɛk]
naběračka	[ˈnabjɛrat͡ʃka]
nábřeží	[ˈnaːbr̝ɛʒiː]
nácek	[ˈnaːt͡sɛk]
nacházet	[ˈnaxaːzɛt]
nachází	[ˈnaxaːziː]
nachlazení	[ˈnaxlazɛɲiː]
Náchod	[ˈnaːxot]
nachový	[ˈnaxoviː]
náchylnost	[ˈnaːxɪlnost]
náchylný	[ˈnaːxɪlniː]
nachystat	[ˈnaxɪstat]
nacionalista	[ˈnat͡sɪonalɪsta]
nacismus	[ˈnat͡sɪzmus]
nacista	[ˈnat͡sɪsta]
nacistický	[ˈnat͡sɪstɪt͡skiː]
nad	[ˈnat]
nadace	[ˈnadat͡sɛ]
nadále	/ˈnadaːlɛ/
nadán	[ˈnadaːn]
nadání	[ˈnadaːɲiː]
nadaný	[ˈnadaniː]
nadarmo	[ˈnadarmo]
nadat	/ˈnadat/
nadávat	[ˈnadaːvat]
nadávat jako špaček	[nadaːvat jako ʃpat͡ʃɛk]
nadávka	[ˈnadaːfka]
nadbytek	[ˈnadbɪtɛk]
nadbytečný	[ˈnadbɪtɛt͡ʃniː]
nadbytečně	[ˈnadbɪtɛt͡ʃɲɛ]
nadchnout	[ˈnatxnou̯t]
kochaly	[ˈkoxalɪ]
kochalo	[ˈkoxalo]
kochala	[ˈkoxala]
kochal	[ˈkoxal]
vítány	[ˈviːtaːnɪ]
vítaly	[ˈviːtalɪ]
vítali	[ˈviːtalɪ]
vítalo	[ˈviːtalo]
vítala	[ˈviːtala]
vítal	[ˈviːtal]
poháre	[ˈpoɦaːrɛ]
chobotnice	[ˈxobotɲɪt͡sɛ]
zápěstí	[ˈzaːpjɛsciː]
metrosexuál	[ˈmɛtrosɛksuaːl]
hodně štěstí!	[ɦodɲɛ ʃcɛsciː]
dobrou noc	[dobrou̯ not͡s]
děkuji	[ˈɟɛkujɪ]
babička	/ˈbabɪt͡ʃka/
Kolumbie	[ˈkolumbɪjɛ]
Kolik je hodin?	[kolɪk jɛ ɦoɟɪn]
nadchod	[ˈnatxot]
nádech	[ˈnaːdɛx]
nader	/ˈnadɛr/
nádhera	[ˈnaːdɦɛra]
nádherný	/ˈnaːdɦɛrniː/
nadhlavník	[ˈnadɦlavɲiːk]
nadhled	[ˈnadɦlɛt]
nadhodnotit	[ˈnadɦodnocɪt]
nadhoz	[ˈnadɦos]
nadjá	[ˈnadjaː]
nadjezd	[ˈnadjɛst]
nadkoule	[ˈnatkou̯lɛ]
nadledvinky	[ˈnadlɛdvɪŋkɪ]
nadloktí	[ˈnadlokciː]
nadmnožina	[ˈnadm̩noʒɪna]
nadmořská výška	[nadmor̝̊skaː viːʃka]
nadmořský	[ˈnadmor̝̊skiː]
nadměrný	/ˈnadmɲɛrˌniː/
nadměrně	/ˈnadmɲɛrˌɲɛ/
nadnárodní	[ˈnadnaːrodɲiː]
nadnesený	[ˈnadnɛsɛniː]
nádoba	[ˈnaːdoba]
nádobí	/ˈnaːdobiː/
nadobro	[ˈnadobro]
nádor	[ˈnaːdor]
nádorový	[ˈnaːdoroviː]
nadočnicový	[ˈnadot͡ʃɲɪt͡soviː]
nadpis	[ˈnatpɪs]
nadporučík	[ˈnatporut͡ʃiːk]
nadpřirozený	[ˈnatpr̝̊ɪrozɛniː]
nádr	[ˈnaːdr̩]
nádraží	/ˈnaːdraʒiː/
nádražíčko	[ˈnaːdraʒiːt͡ʃko]
nadrobno	[ˈnadrobno]
nadrotmistr	[ˈnadrotmɪstr̩]
nadrovina	[ˈnadrovɪna]
nádrž	/naːdr̩ʃ/
nadsazený	[ˈnatsazɛniː]
nadsázka	[ˈnatsaːska]
nadtřída	/ˈnattr̝̊iːda/
nadutý	[ˈnadutiː]
nadužívání	[ˈnaduʒiːvaːɲiː]
nadvláda	[ˈnadvlaːda]
nádvoří	[ˈnaːdvor̝iː]
nadýmání	[ˈnadiːmaːɲiː]
nadzvukový	[ˈnadzvukoviː]
nadčasový	[ˈnat͡ʃasoviː]
nadčlověk	[ˈnat͡ʃlovjɛk]
naděje	/ˈnaɟɛjɛ/
naděje umírá poslední	[naɟɛjɛ umiːraː poslɛdɲiː]
nadějný	[ˈnaɟɛjniː]
nadějně	[ˈnaɟɛjɲɛ]
Naděnka	[ˈnaɟɛŋka]
Naděžda	[ˈnaɟɛʒda]
nadšenec	[ˈnatʃɛnɛt͡s]
nadšení	[ˈnatʃɛɲiː]
nadšený	/ˈnat.ʃɛˌniː/
nadšeně	[ˈnatʃɛɲɛ]
naformátovat	[ˈnaformaːtovat]
nafoukanec	[ˈnafou̯kanɛt͡s]
nafoukaný	[ˈnafou̯kaniː]
náfuka	[ˈnaːfuka]
nahá	[ˈnaɦaː]
nahé	[ˈnaɦɛː]
nahlas	[ˈnaɦlas]
nahlásit	[ˈnaɦlaːsɪt]
náhle	[ˈnaːɦlɛ]
náhlost	[ˈnaːɦlost]
náhlý	[ˈnaːɦliː]
náhoda	/ˈnaːɦoda/
nahodile	[ˈnaɦoɟɪlɛ]
nahodilý	[ˈnaɦoɟɪliː]
náhodička	[ˈnaːɦoɟɪt͡ʃka]
náhodná proměnná	[naːɦodnaː promɲɛnaː]
náhodná veličina	[naːɦodnaː vɛlɪt͡ʃɪna]
náhodnost	[ˈnaːɦodnost]
náhodnostní algoritmus	[naːɦodnostɲiː alɡorɪtmus]
náhodný	[ˈnaːɦodniː]
náhodný výběr	[naːɦodniː viːbjɛr]
náhodně	[ˈnaːɦodɲɛ]
náhodou	[ˈnaːɦodou̯]
náhon	[ˈnaːɦon]
Náhorní Karabach	[naːɦorɲiː karabax]
náhorní plošina	[naːɦorɲiː ploʃɪna]
nahoru	[ˈnaɦoru]
nahota	[ˈnaɦota]
nahoře	[ˈnaɦor̝ɛ]
náhrada	[ˈnaːɦrada]
nahradit	[ˈnaɦraɟɪt]
nahraditelný	[ˈnaɦraɟɪtɛlniː]
náhradní	/ˈnaːɦradɲiː/
náhradní díl	[naːɦradɲiː ɟiːl]
náhradník	/ˈnaː.ɦra.dɲiːk/
nahrát	[ˈnaɦraːt]
nahrávat	[ˈnaɦraːvat]
nahrávač	/naɦraːvatʃ/
nahrávka	[ˈnaɦraːfka]
nahrazení	[ˈnaɦrazɛɲiː]
nahrazovat	[ˈnaɦrazovat]
náhrdelník	[ˈnaːɦr̩dɛlɲiːk]
náhrobek	[ˈnaːɦrobɛk]
nahromadění	[ˈnaɦromaɟɛɲiː]
náhubek	[ˈnaːɦubɛk]
nahý	/ˈnaɦiː/
nainstalovat	[ˈnaɪnstalovat]
najednou	[ˈnajɛdnou̯]
nájem	[ˈnaːjɛm]
nájemce	[ˈnaːjɛmt͡sɛ]
nájemkyně	[ˈnaːjɛmkɪɲɛ]
nájemné	[ˈnaːjɛmnɛː]
nájemní smlouva	[naːjɛmɲiː sm̩lou̯va]
nájemník	[ˈnaːjɛmɲiːk]
najemno	[ˈnajɛmno]
najít	/ˈnajiːt/
najmout	[ˈnajmou̯t]
najmě	[ˈnajm̩ɲɛ]
nakapat	[ˈnakapat]
nakaz	[ˈnakas]
nákaza	[ˈnaːkaza]
nakazit	[ˈnakazɪt]
nakažlivost	/nakaʒlɪvɔst/
nakažlivý	[ˈnakaʒlɪviː]
náklad	[ˈnaːklat]
nakládat	[ˈnaklaːdat]
nakladatelství	[ˈnakladatɛlstviː]
nakladač	[ˈnakladat͡ʃ]
nákladní vlak	[naːkladɲiː vlak]
nákladný	[ˈnaːkladniː]
náklady	[ˈnaːkladɪ]
náklady obětované příležitosti	[naːkladɪ objɛtovanɛː pr̝̊iːlɛʒɪtoscɪ]
náklady ušlé příležitosti	[naːkladɪ uʃlɛː pr̝̊iːlɛʒɪtoscɪ]
náklaďák	[ˈnaːklaɟaːk]
náklonnost	[ˈnaːklonost]
nakloněná rovina	[nakloɲɛnaː rovɪna]
nakonec	[ˈnakonɛt͡s]
nakouknout	[ˈnakou̯knou̯t]
