метража́ми	metražámi	[mʲɪtrɐˈʐamʲɪ]
ты́чет	týčet	[ˈtɨt͡ɕɪt]
баско́й	baskój	[bɐˈskoj]
мука́	muká	[mʊˈka]
переска́занными	pereskázannymi	[pʲɪrʲɪˈskazən(ː)ɨmʲɪ]
дви́жутся	dvížutsja	[ˈdvʲiʐʊt͡sə]
вытира́вший	vytirávšij	[vɨtʲɪˈrafʂɨj]
виля́вший	viljávšij	[vʲɪˈlʲafʂɨj]
переска́занной	pereskázannoj	[pʲɪrʲɪˈskazən(ː)əj]
интерпрета́цией	intɛrpretácijej	[ɪntɨrprʲɪˈtat͡sɨ(j)ɪj]
уби́тым	ubítym	[ʊˈbʲitɨm]
всплёскивала	vspljóskivala	[ˈfsplʲɵskʲɪvələ]
атле́ткам	atlétkam	[ɐtˈlʲetkəm]
карасе́	karasé	[kərɐˈsʲe]
онома́стик	onomástik	[ɐnɐˈmasʲtʲɪk]
переска́занного	pereskázannovo	[pʲɪrʲɪˈskazən(ː)əvə]
отвоева́ть	otvojevátʹ	[ɐtvə(j)ɪˈvatʲ]
ду́маетесь	dúmajetesʹ	[ˈdumə(j)ɪtʲɪsʲ]
вы́цвету	výcvetu	[ˈvɨt͡svʲɪtʊ]
элега́нтностям	elegántnostjam	[ɪlʲɪˈɡantnəsʲtʲəm]
вы́метете	výmetete	[ˈvɨmʲɪtʲɪtʲe]
передви́нутся	peredvínutsja	[pʲɪrʲɪdˈvʲinʊt͡sə]
остервене́нию	ostervenéniju	[ɐsʲtʲɪrvʲɪˈnʲenʲɪjʊ]
а́ффиксы	áffiksy	[ˈafʲɪksɨ]
диве́рсиях	divérsijax	[dʲɪˈvʲersʲɪjəx]
свёртываюсь	svjórtyvajusʹ	[ˈsvʲɵrtɨvəjʉsʲ]
арте́рией	artɛ́rijej	[ɐrˈtɛrʲɪ(j)ɪj]
отста́вливающий	otstávlivajuščij	[ɐt͡sˈstavlʲɪvəjʉɕːɪj]
углублена́	uglublená	[ʊɡlʊblʲɪˈna]
обзыва́ния	obzyvánija	[ɐbzɨˈvanʲɪjə]
вынужда́й	vynuždáj	[vɨnʊʐˈdaj]
мно́жась	mnóžasʹ	[ˈmnoʐəsʲ]
госуда́рынях	gosudárynjax	[ɡəsʊˈdarɨnʲəx]
су́киным де́тям	súkinym détjam	[ˈsukʲɪnɨm ˈdʲetʲəm]
пола́зает	polázajet	[pɐˈlazə(j)ɪt]
беспоко́йный	bespokójnyj	[bʲɪspɐˈkojnɨj]
чара́сы	čarásy	[t͡ɕɪˈrasɨ]
недосчи́тывались	nedosčítyvalisʹ	[nʲɪdɐˈɕːitɨvəlʲɪsʲ]
разли́ло	razlílo	[rɐz⁽ʲ⁾ˈlʲilə]
ула́дьте	uládʹte	[ʊˈlatʲːe]
каминг-а́уты	kaming-áuty	[ˌkamʲɪnk ˈaʊtɨ]
заро́ем	zarójem	[zɐˈro(j)ɪm]
отчисля́вши	otčisljávši	[ɐt͡ɕːɪs⁽ʲ⁾ˈlʲafʂɨ]
переска́занной	pereskázannoj	[pʲɪrʲɪˈskazən(ː)əj]
ле́звие	lézvije	[ˈlʲezvʲɪje]
гексакосиойгексеконтагексафо́бий	geksakosiojgeksɛkontageksafóbij	[ˌɡʲeksəkəsʲɪəjɡʲɪksɨˌkontəɡʲɪksɐˈfobʲɪj]
поплы́вший	poplývšij	[pɐˈplɨfʂɨj]
поклянёшься	pokljanjóšʹsja	[pəklʲɪˈnʲɵʂsʲə]
взмётывать	vzmjótyvatʹ	[ˈvzmʲɵtɨvətʲ]
пуска́ться во все тя́жкие	puskátʹsja vo vse tjážkije	[pʊˈskat͡sːə vɐ‿ˈfsʲe ˈtʲaʂkʲɪje]
китовра́сом	kitovrásom	[kʲɪtɐˈvrasəm]
впива́ясь	vpivájasʹ	[f⁽ʲ⁾pʲɪˈva(j)ɪsʲ]
че́рпаю	čérpaju	[ˈt͡ɕerpəjʊ]
переска́занною	pereskázannoju	[pʲɪrʲɪˈskazən(ː)əjʊ]
ковш	kovš	[kofʂ]
ло́жных трево́г	lóžnyx trevóg	[ˈloʐnɨx trʲɪˈvok]
пнём	pnjom	[pnʲɵm]
выдира́йтесь	vydirájtesʹ	[vɨdʲɪˈrajtʲɪsʲ]
полага́ющийся	polagájuščijsja	[pəlɐˈɡajʉɕːɪjsʲə]
ми́тингах	mítingax	[ˈmʲitʲɪnɡəx]
ауди́т	audít	[ɐʊˈdʲit]
добре́ли	dobréli	[dɐˈbrʲelʲɪ]
парадо́кс	paradóks	[pərɐˈdoks]
наве́рчивавши	navérčivavši	[nɐˈvʲert͡ɕɪvəfʂɨ]
упира́ю	upiráju	[ʊpʲɪˈrajʊ]
оска́ливаемый	oskálivajemyj	[ɐˈskalʲɪvə(j)ɪmɨj]
гнойничко́м	gnojničkóm	[ɡnəjnʲɪt͡ɕˈkom]
велосипе́ды	velosipédy	[vʲɪləsʲɪˈpʲedɨ]
заки́дывать у́дочку	zakídyvatʹ údočku	[zɐˈkʲidɨvətʲ ˈudət͡ɕkʊ]
несе́нию	neséniju	[nʲɪˈsʲenʲɪjʊ]
переска́занной	pereskázannoj	[pʲɪrʲɪˈskazən(ː)əj]
рецепту́ры	receptúry	[rʲɪt͡sɨpˈturɨ]
отягоща́ем	otjagoščájem	[ɐtʲɪɡɐˈɕːæ(j)ɪm]
окру́глости	okrúglosti	[ɐˈkruɡləsʲtʲɪ]
взра́щивала	vzráščivala	[ˈvzraɕːɪvələ]
собо́ром	sobórom	[sɐˈborəm]
беспоко́ит	bespokóit	[bʲɪspɐˈkoɪt]
што́льню	štólʹnju	[ˈʂtolʲnʲʊ]
ле́звие	lézvije	[ˈlʲezvʲɪje]
		
контракто́ванный	kontraktóvannyj	[kəntrɐkˈtovən(ː)ɨj]
карте́чью	kartéčʹju	[kɐrˈtʲet͡ɕjʊ]
благове́щению	blagovéščeniju	[bləɡɐˈvʲeɕːɪnʲɪjʊ]
волну́емся	volnújemsja	[vɐlˈnu(j)ɪmsʲə]
пренебрега́ло	prenebregálo	[prʲɪnʲɪbrʲɪˈɡalə]
вкли́нивались	vklínivalisʹ	[ˈfklʲinʲɪvəlʲɪsʲ]
переска́занных	pereskázannyx	[pʲɪrʲɪˈskazən(ː)ɨx]
засори́в	zasorív	[zəsɐˈrʲif]
си мажо́р	si mažór	[sʲi mɐˈʐor]
заплыва́вший	zaplyvávšij	[zəplɨˈvafʂɨj]
бе́е	béje	[ˈbʲeje]
неустраши́мостью	neustrašímostʹju	[nʲɪʊstrɐˈʂɨməsʲtʲjʊ]
ме́тимый	métimyj	[ˈmʲetʲɪmɨj]
подде́ланный	poddélannyj	[pɐˈdʲːelən(ː)ɨj]
ко́вшиками	kóvšikami	[ˈkofʂɨkəmʲɪ]
бана́ном	banánom	[bɐˈnanəm]
обща́ться	obščátʹsja	[ɐpˈɕːat͡sːə]
пи́кают	píkajut	[ˈpʲikəjʊt]
агитпро́пам	agitprópam	[ɐɡʲɪtˈpropəm]
залега́нию	zalegániju	[zəlʲɪˈɡanʲɪjʊ]
шепта́лось	šeptálosʹ	[ʂɨpˈtaləsʲ]
отношу́сь	otnošúsʹ	[ɐtnɐˈʂusʲ]
смири́лась	smirílasʹ	[smʲɪˈrʲiləsʲ]
возрожда́ясь	vozroždájasʹ	[vəzrɐʐˈda(j)ɪsʲ]
грыж	gryž	[ɡrɨʂ]
пятна́дцатыми	pjatnádcatymi	[pʲɪtˈnat͡s(ː)ɨtɨmʲɪ]
критя́нам	kritjánam	[krʲɪˈtʲanəm]
очерчу́	očerčú	[ɐt͡ɕɪrˈt͡ɕu]
отва́лится	otválitsja	[ɐtˈvalʲɪt͡sə]
кувырка́ете	kuvyrkájete	[kʊvɨrˈka(j)ɪtʲe]
че́рпает	čérpajet	[ˈt͡ɕerpə(j)ɪt]
выпрямля́ясь	vyprjamljájasʹ	[vɨprʲɪˈmlʲæ(j)ɪsʲ]
мѣ́сто	mě́sto	[ˈmʲestə]
почини́ли	počiníli	[pət͡ɕɪˈnʲilʲɪ]
взрыва́ться	vzryvátʹsja	[vzrɨˈvat͡sːə]
нава́льный	naválʹnyj	[nɐˈvalʲnɨj]
каём	kajóm	[kɐˈjɵm]
пассажи́ркою	passažírkoju	[pəsɐˈʐɨrkəjʊ]
инкрусти́руй	inkrustíruj	[ɪnkrʊˈsʲtʲirʊj]
ядре́	jadré	[(j)ɪˈdrʲe]
портны́х	portnýx	[pɐrtˈnɨx]
медоно́сная пчела́	medonósnaja pčelá	[mʲɪdɐˈnosnəjə pt͡ɕɪˈla]
восприима́я	vospriimája	[vəsprʲɪɪˈmajə]
алопе́цию	alopéciju	[ɐlɐˈpʲet͡sɨjʊ]
вы́купила	výkupila	[ˈvɨkʊpʲɪlə]
мультикультурали́змами	mulʹtikulʹturalízmami	[ˌmulʲtʲɪkʊlʲtʊrɐˈlʲizməmʲɪ]
видеоплёнках	videopljónkax	[ˌvʲidʲɪɐˈplʲɵnkəx]
переска́занных	pereskázannyx	[pʲɪrʲɪˈskazən(ː)ɨx]
робе́ть	robétʹ	[rɐˈbʲetʲ]
превраща́лся	prevraščálsja	[prʲɪvrɐˈɕːals⁽ʲ⁾ə]
эсхатоло́гию	esxatológiju	[ɪsxətɐˈloɡʲɪjʊ]
пиши́	piší	[pʲɪˈʂɨ]
кра́там	krátam	[ˈkratəm]
алкого́ликам	alkogólikam	[ɐlkɐˈɡolʲɪkəm]
ру́кописям	rúkopisjam	[ˈrukəpʲɪsʲəm]
засты́в	zastýv	[zɐˈstɨf]
госуда́ре	gosudáre	[ɡəsʊˈdarʲe]
мелькнём	melʹknjóm	[mʲɪlʲkˈnʲɵm]
переска́занными	pereskázannymi	[pʲɪrʲɪˈskazən(ː)ɨmʲɪ]
наступа́ю	nastupáju	[nəstʊˈpajʊ]
соверше́нствовало	soveršénstvovalo	[səvʲɪrˈʂɛnstvəvələ]
отведёмся	otvedjómsja	[ɐtvʲɪˈdʲɵmsʲə]
переска́занные	pereskázannyje	[pʲɪrʲɪˈskazən(ː)ɨje]
изме́ряем	izmérjajem	[ɪzˈmʲerʲɪ(j)ɪm]
заебу́тся	zajebútsja	[zə(j)ɪˈbut͡sːə]
подли́вками	podlívkami	[pɐdˈlʲifkəmʲɪ]
дура́чило	duráčilo	[dʊˈrat͡ɕɪlə]
заяви́телей	zajavítelej	[zə(j)ɪˈvʲitʲɪlʲɪj]
обраще́ниям	obraščénijam	[ɐbrɐˈɕːenʲɪjəm]
переска́занной	pereskázannoj	[pʲɪrʲɪˈskazən(ː)əj]
пя́тый	pjátyj	[ˈpʲatɨj]
подправля́ли	podpravljáli	[pətprɐˈvlʲælʲɪ]
аэроста́т	aerostát	[ɐɪrɐˈstat]
изю́ма	izjúma	[ɪˈzʲumə]
со́кола	sókola	[ˈsokələ]
маляра́ми	maljarámi	[məlʲɪˈramʲɪ]
внема́точных	vnemátočnyx	[vnʲɪˈmatət͡ɕnɨx]
солоди́льнях	solodílʹnjax	[səlɐˈdʲilʲnʲəx]
каре́тнике	karétnike	[kɐˈrʲetʲnʲɪkʲe]
отры́гивал	otrýgival	[ɐˈtrɨɡʲɪvəl]
расса́дим	rassádim	[rɐˈsːadʲɪm]
бараба́ну	barabánu	[bərɐˈbanʊ]
ле́звие	lézvije	[ˈlʲezvʲɪje]
разлила́сь	razlilásʹ	[rəz⁽ʲ⁾lʲɪˈlasʲ]
завали́сь	zavalísʹ	[zəvɐˈlʲisʲ]
прика́занный	prikázannyj	[prʲɪˈkazən(ː)ɨj]
отме́нятся	otménjatsja	[ɐtˈmʲenʲət͡sə]
перестара́ются	perestarájutsja	[pʲɪrʲɪstɐˈrajʊt͡sə]
интеллиге́нциях	intelligéncijax	[ɪnʲtʲɪlʲɪˈɡʲent͡sɨjəx]
плети́сь	pletísʹ	[plʲɪˈtʲisʲ]
га́нгстере	gángstere, gángstɛre	[ˈɡanksʲtʲɪrʲe]
прибре́жье	pribréžʹje	[prʲɪˈbrʲeʐje]
гнуша́вшийся	gnušávšijsja	[ɡnʊˈʂafʂɨjsʲə]
отме́ток	otmétok	[ɐtˈmʲetək]
сига́р	sigár	[sʲɪˈɡar]
авиапредприя́тиями	aviapredprijátijami	[ˌavʲɪəprʲɪtprʲɪˈjætʲɪjəmʲɪ]
алжи́рцах	alžírcax	[ɐlˈʐɨrt͡səx]
окаймлю́	okajmljú	[ɐkɐjˈmlʲu]
лейко́зу	lejkózu	[lʲɪjˈkozʊ]
громи́ть	gromítʹ	[ɡrɐˈmʲitʲ]
сквозняки́	skvoznjakí	[skvəzʲnʲɪˈkʲi]
мироощуще́нием	mirooščuščénijem	[mʲɪrɐɐɕːʉˈɕːenʲɪ(j)ɪm]
смути́лся	smutílsja	[smʊˈtʲils⁽ʲ⁾ə]
ка́нула	kánula	[ˈkanʊlə]
бренча́ли	brenčáli	[brʲɪnʲˈt͡ɕælʲɪ]
любо́вник	ljubóvnik	[lʲʊˈbovnʲɪk]
сгуща́ет	sguščájet	[zɡʊˈɕːæ(j)ɪt]
танцо́рами	tancórami	[tɐnˈt͡sorəmʲɪ]
агроте́хником	agrotéxnikom	[ɐɡrɐˈtʲexnʲɪkəm]
ёкните	jóknite	[ˈjɵknʲɪtʲe]
полоска́ем	poloskájem	[pəlɐˈska(j)ɪm]
великоле́пиям	velikolépijam	[vʲɪlʲɪkɐˈlʲepʲɪjəm]
импа́лою	impáloju	[ɪmˈpaləjʊ]
цирко́нием	cirkónijem	[t͡sɨrˈkonʲɪ(j)ɪm]
внедри́в	vnedrív	[vnʲɪˈdrʲif]
криминалите́та	kriminalitéta	[krʲɪmʲɪnəlʲɪˈtʲetə]
преткнове́ний	pretknovénij	[prʲɪtknɐˈvʲenʲɪj]
зву́ком	zvúkom	[ˈzvukəm]
сцепля́й	scepljáj	[st͡sɨˈplʲæj]
оце́ниваться	océnivatʹsja	[ɐˈt͡sɛnʲɪvət͡sə]
фана́тика	fanátika	[fɐˈnatʲɪkə]
грабежа́м	grabežám	[ɡrəbʲɪˈʐam]
какофо́нии	kakofónii	[kəkɐˈfonʲɪɪ]
ли́деров	líderov	[ˈlʲidʲɪrəf]
догора́ют	dogorájut	[dəɡɐˈrajʊt]
переска́занного	pereskázannovo	[pʲɪrʲɪˈskazən(ː)əvə]
поблёскивавши	pobljóskivavši	[pɐˈblʲɵskʲɪvəfʂɨ]
племя́нницею	plemjánniceju	[plʲɪˈmʲænʲːɪt͡sɨjʊ]
остережёшь	osterežóšʹ	[ɐsʲtʲɪrʲɪˈʐoʂ]
аэроло́гию	aerológiju	[ɐɪrɐˈloɡʲɪjʊ]
кото́ром	kotórom	[kɐˈtorəm]
Карача́ево-Черке́сия	Karačájevo-Čerkésija	[kərɐˈt͡ɕæ(j)ɪvə t͡ɕɪrˈkʲesʲɪjə]
гре́ках	grékax	[ˈɡrʲekəx]
лао́сский	laósskij	[lɐˈosːkʲɪj]
призы́ве	prizýve	[prʲɪˈzɨvʲe]
переска́занных	pereskázannyx	[pʲɪrʲɪˈskazən(ː)ɨx]
гербици́д	gerbicíd	[ɡʲɪrbʲɪˈt͡sɨt]
отпочко́вываться	otpočkóvyvatʹsja	[ɐtpɐt͡ɕˈkovɨvət͡sə]
придвига́ет	pridvigájet	[prʲɪdvʲɪˈɡa(j)ɪt]
гербици́д	gerbicíd	[ɡʲɪrbʲɪˈt͡sɨt]
обреза́ю	obrezáju	[ɐbrʲɪˈzajʊ]
нагни́тесь	nagnítesʹ	[nɐɡˈnʲitʲɪsʲ]
просы́плю	prosýplju	[prɐˈsɨplʲʊ]
неудо́бен	neudóben	[nʲɪʊˈdobʲɪn]
братоуби́йцах	bratoubíjcax	[brətəʊˈbʲijt͡səx]
отпочко́вываться	otpočkóvyvatʹsja	[ɐtpɐt͡ɕˈkovɨvət͡sə]
приведёт	privedjót	[prʲɪvʲɪˈdʲɵt]
нака́тывавший	nakátyvavšij	[nɐˈkatɨvəfʂɨj]
топори́щам	toporíščam	[təpɐˈrʲiɕːəm]
шаляй-валя́й	šaljaj-valjáj	[ʂɐˌlʲæj vɐˈlʲæj]
то́пов	tópov	[ˈtopəf]
метони́миям	metonímijam	[mʲɪtɐˈnʲimʲɪjəm]
баско́й	baskój	[bɐˈskoj]
вегетариа́нства	vegetariánstva	[vʲɪɡʲɪtərʲɪˈanstvə]
помрача́в	pomračáv	[pəmrɐˈt͡ɕaf]
ча́яния	čájanija	[ˈt͡ɕæ(j)ɪnʲɪjə]
атеисти́ческих	ateistíčeskix	[ɐtʲɪɪˈsʲtʲit͡ɕɪskʲɪx]
освежа́ющий	osvežájuščij	[ɐsvʲɪˈʐajʉɕːɪj]
тре́бою	tréboju	[ˈtrʲebəjʊ]
благоустра́ивало	blagoustráivalo	[bləɡəʊˈstraɪvələ]
кочна́	kočná	[kɐt͡ɕˈna]
переска́занного	pereskázannovo	[pʲɪrʲɪˈskazən(ː)əvə]
уравня́йте	uravnjájte	[ʊrɐvˈnʲæjtʲe]
вбива́йте	vbivájte	[v⁽ʲ⁾bʲɪˈvajtʲe]
неприя́тность	neprijátnostʹ	[nʲɪprʲɪˈjatnəsʲtʲ]
сгиба́вши	sgibávši	[zɡʲɪˈbafʂɨ]
земляны́м червя́м	zemljaným červjám	[zʲɪmlʲɪˈnɨm t͡ɕɪrˈvʲam]
гербици́д	gerbicíd	[ɡʲɪrbʲɪˈt͡sɨt]
переска́занные	pereskázannyje	[pʲɪrʲɪˈskazən(ː)ɨje]
по́мысел	pómysel	[ˈpomɨsʲɪl]
проста́вят	prostávjat	[prɐˈstavʲət]
гильоти́нам	gilʹotínam	[ɡʲɪlʲjɪˈtʲinəm]
уча́щимся	učáščimsja	[ʊˈt͡ɕæɕːɪmsʲə]
навеща́ющий	naveščájuščij	[nəvʲɪˈɕːæjʉɕːɪj]
Карача́ево-Черке́сия	Karačájevo-Čerkésija	[kərɐˈt͡ɕæ(j)ɪvə t͡ɕɪrˈkʲesʲɪjə]
гусака́	gusaká	[ɡʊsɐˈka]
помира́ют	pomirájut	[pəmʲɪˈrajʊt]
се́ни	séni	[ˈsʲenʲɪ]
безмо́лвствую	bezmólvstvuju	[bʲɪzˈmolfstvʊjʊ]
орхиде́е	orxidéje, orxidɛ́je	[ɐrxʲɪˈdʲeje]
отгиба́ли	otgibáli	[ɐdɡʲɪˈbalʲɪ]
ампе́р-ча́сом	ampér-čásom	[ɐm⁽ʲ⁾ˌpʲer ˈt͡ɕasəm]
огорчи́ло	ogorčílo	[ɐɡɐrˈt͡ɕilə]
гу́бками	gúbkami	[ˈɡupkəmʲɪ]
приспособля́емостью	prisposobljájemostʹju	[prʲɪspəsɐˈblʲæ(j)ɪməsʲtʲjʊ]
су́тей	sútej	[ˈsutʲɪj]
пристраща́лся	pristraščálsja	[prʲɪstrɐˈɕːals⁽ʲ⁾ə]
реститу́ций	restitúcij	[rʲɪsʲtʲɪˈtut͡sɨj]
элимини́рованиям	eliminírovanijam	[ɪlʲɪmʲɪˈnʲirəvənʲɪjəm]
чуло́к	čulók	[t͡ɕʊˈlok]
ввяза́ют	vvjazájut	[vʲːɪˈzajʊt]
обгрыза́емый	obgryzájemyj	[ɐbɡrɨˈza(j)ɪmɨj]
нездоро́вьями	nezdoróvʹjami	[nʲɪzdɐˈrov⁽ʲ⁾jəmʲɪ]
инструме́нтами	instruméntami	[ɪnstrʊˈmʲentəmʲɪ]
уе́зды	ujézdy	[ʊˈjezdɨ]
верша́т	veršát	[vʲɪrˈʂat]
ани́йцам	aníjcam	[ɐˈnʲijt͡səm]
вы́учи	výuči	[ˈvɨʊt͡ɕɪ]
отпочко́вываться	otpočkóvyvatʹsja	[ɐtpɐt͡ɕˈkovɨvət͡sə]
спа́ек	spájek	[ˈspa(j)ɪk]
вноси́лась	vnosílasʹ	[vnɐˈsʲiləsʲ]
взвили́сь	vzvilísʹ	[vzvʲɪˈlʲisʲ]
плеро́ме	pleróme	[plʲɪˈromʲe]
жарке́	žarké	[ʐɐrˈkʲe]
аудио-кни́гах	audio-knígax	[ˌaʊdʲɪo ˈknʲiɡəx]
си́сечками	sísečkami	[ˈsʲisʲɪt͡ɕkəmʲɪ]
каю́тах	kajútax	[kɐˈjutəx]
категори́чно	kategoríčno	[kətʲɪɡɐˈrʲit͡ɕnə]
адреса́нтах	adresántax	[ɐdrʲɪˈsantəx]
продира́я	prodirája	[prədʲɪˈrajə]
абсолютизи́ровании	absoljutizírovanii	[ɐpsəlʲʉtʲɪˈzʲirəvənʲɪɪ]
усредня́ете	usrednjájete	[ʊsrʲɪdʲˈnʲæ(j)ɪtʲe]
проду́мываемый	prodúmyvajemyj	[prɐˈdumɨvə(j)ɪmɨj]
пра́здников	prázdnikov	[ˈprazʲnʲɪkəf]
акце́пторами	akcéptorami	[ɐkˈt͡sɛptərəmʲɪ]
са́харная ва́та	sáxarnaja váta	[ˈsaxərnəjə ˈvatə]
лорне́ту	lornétu, lornɛ́tu	[lɐrˈnʲetʊ]
мезго́й	mezgój	[mʲɪzˈɡoj]
докопа́етесь	dokopájetesʹ	[dəkɐˈpa(j)ɪtʲɪsʲ]
переска́занной	pereskázannoj	[pʲɪrʲɪˈskazən(ː)əj]
вва́ливайте	vválivajte	[ˈvːalʲɪvəjtʲe]
унисо́нах	unisónax	[ʊnʲɪˈsonəx]
вспа́шут	vspášut	[ˈfspaʂʊt]
конфу́зились	konfúzilisʹ	[kɐnˈfuzʲɪlʲɪsʲ]
весе́нним равноде́нствием	vesénnim ravnodénstvijem	[vʲɪˈsʲenʲːɪm rəvnɐˈdʲenstvʲɪ(j)ɪm]
шифро́вки	šifróvki	[ʂɨˈfrofkʲɪ]
ста́вшийся	stávšijsja	[ˈstafʂɨjsʲə]
изменя́ющий	izmenjájuščij	[ɪzmʲɪˈnʲæjʉɕːɪj]
у́тренником	útrennikom	[ˈutrʲɪnʲ(ː)ɪkəm]
гляде́лось	gljadélosʹ	[ɡlʲɪˈdʲeləsʲ]
вя́лимый	vjálimyj	[ˈvʲælʲɪmɨj]
опубликова́ли	opublikováli	[ɐpʊblʲɪkɐˈvalʲɪ]
же́ртвуешь	žértvuješʹ	[ˈʐɛrtvʊ(j)ɪʂ]
прикоснётся	prikosnjótsja	[prʲɪkɐsʲˈnʲɵt͡sːə]
разува́ться	razuvátʹsja	[rəzʊˈvat͡sːə]
ангелка́х	angelkáx	[ɐnɡʲɪlˈkax]
переска́зана	pereskázana	[pʲɪrʲɪˈskazənə]
ха́ркнувши	xárknuvši	[ˈxarknʊfʂɨ]
избега́ют	izbegájut	[ɪzbʲɪˈɡajʊt]
карна́ях	karnájax	[kɐrˈnajəx]
ехи́дство	jexídstvo	[(j)ɪˈxʲit͡stvə]
вивисе́кциях	vivisékcijax	[vʲɪvʲɪˈsʲekt͡sɨjəx]
ле́йблов	lɛ́jblov	[ˈlɛjbləf]
любо́вник	ljubóvnik	[lʲʊˈbovnʲɪk]
желтка́	želtká	[ʐɨltˈka]
афиши́руйте	afišírujte	[ɐfʲɪˈʂɨrʊjtʲe]
прорастёшь	prorastjóšʹ	[prərɐˈsʲtʲɵʂ]
		
завора́чивало	zavoráčivalo	[zəvɐˈrat͡ɕɪvələ]
пневмати́ческим молотко́м	pnevmatíčeskim molotkóm	[pnʲɪvmɐˈtʲit͡ɕɪskʲɪm məlɐtˈkom]
соо́бщниц	soóbščnic	[sɐˈopɕːnʲɪt͡s]
обсуди́л	obsudíl	[ɐpsʊˈdʲil]
пле́нумах	plénumax	[ˈplʲenʊməx]
моржи́	morží	[mɐrˈʐɨ]
Унико́д	Unikód	[ʊnʲɪˈkot]
авиадиви́зии	aviadivízii	[ˌavʲɪədʲɪˈvʲizʲɪɪ]
переска́занной	pereskázannoj	[pʲɪrʲɪˈskazən(ː)əj]
помы́тый	pomýtyj	[pɐˈmɨtɨj]
вре́зывай	vrézyvaj	[ˈvrʲezɨvəj]
провоци́ровала	provocírovala	[prəvɐˈt͡sɨrəvələ]
стричь	stričʹ	[strʲit͡ɕ]
ха́нство	xánstvo	[ˈxanstvə]
переска́занным	pereskázannym	[pʲɪrʲɪˈskazən(ː)ɨm]
дости́гнешься	dostígnešʹsja	[dɐˈsʲtʲiɡnʲɪʂsʲə]
абио́за	abióza	[ɐbʲɪˈozə]
застра́иваюсь	zastráivajusʹ	[zɐˈstraɪvəjʉsʲ]
автосало́не	avtosalóne	[ɐftəsɐˈlonʲe]
кре́стишься	kréstišʹsja	[ˈkrʲesʲtʲɪʂsʲə]
посви́щут	posvíščut	[pɐsˈvʲiɕːʊt]
наста́нете	nastánete	[nɐˈstanʲɪtʲe]
сла́вило	slávilo	[ˈslavʲɪlə]
гонг	gong	[ɡonk]
акклиматизи́рованию	akklimatizírovaniju	[ɐklʲɪmətʲɪˈzʲirəvənʲɪjʊ]
адопти́роваться	adoptírovatʹsja	[ɐdɐpˈtʲirəvət͡sə]
надры́вам	nadrývam	[nɐˈdrɨvəm]
посе́туешь	posétuješʹ	[pɐˈsʲetʊ(j)ɪʂ]
почи́стили	počístili	[pɐˈt͡ɕisʲtʲɪlʲɪ]
замя́лось	zamjálosʹ	[zɐˈmʲaləsʲ]
-о́нка	-ónka	[ˈonkə]
све́рстником	svérstnikom	[ˈsvʲers⁽ʲ⁾nʲɪkəm]
прыжки́	pryžkí	[prɨʂˈkʲi]
лишко́в	liškóv	[lʲɪʂˈkof]
прое́кторе	proéktore	[prɐˈɛktərʲe]
отпо́ром	otpórom	[ɐtˈporəm]
употребля́емый	upotrebljájemyj	[ʊpətrʲɪˈblʲæ(j)ɪmɨj]
пристрасти́мся	pristrastímsja	[prʲɪstrɐˈsʲtʲimsʲə]
созида́ем	sozidájem	[səzʲɪˈda(j)ɪm]
констати́руй	konstatíruj	[kənstɐˈtʲirʊj]
пиздежи́	pizdeží	[pʲɪzʲdʲɪˈʐɨ]
пи́сьменному столу́	písʹmennomu stolú	[ˈpʲisʲmʲɪn(ː)əmʊ stɐˈlu]
ксенофо́бию	ksenofóbiju	[ksʲɪnɐˈfobʲɪjʊ]
вонза́л	vonzál	[vɐnˈzal]
прове́даешь	provédaješʹ	[prɐˈvʲedə(j)ɪʂ]
догора́ющий	dogorájuščij	[dəɡɐˈrajʉɕːɪj]
опора́жниваешь	oporážnivaješʹ	[ɐpɐˈraʐnʲɪvə(j)ɪʂ]
ру́пор	rúpor	[ˈrupər]
педиа́тру	pediátru	[pʲɪdʲɪˈatrʊ]
заявля́лось	zajavljálosʹ	[zə(j)ɪˈvlʲaləsʲ]
гази́руешь	gazíruješʹ	[ɡɐˈzʲirʊ(j)ɪʂ]
наползти́	napolztí	[nəpɐlˈs⁽ʲ⁾tʲi]
ар	ar	[ˈar]
		
уполномо́чу	upolnomóču	[ʊpəlnɐˈmot͡ɕʊ]
допева́я	dopevája	[dəpʲɪˈvajə]
приседа́ют	prisedájut	[prʲɪsʲɪˈdajʊt]
разду́мать	razdúmatʹ	[rɐzˈdumətʲ]
него́дный	negódnyj	[nʲɪˈɡodnɨj]
любо́вник	ljubóvnik	[lʲʊˈbovnʲɪk]
учинённый	učinjónnyj	[ʊt͡ɕɪˈnʲɵnːɨj]
просвеща́ющий	prosveščájuščij	[prəsvʲɪˈɕːæjʉɕːɪj]
спосо́бствовать	sposóbstvovatʹ	[spɐˈsopstvəvətʲ]
предвеща́ете	predveščájete	[prʲɪdvʲɪˈɕːæ(j)ɪtʲe]
непогреши́мый	nepogrešímyj	[nʲɪpəɡrʲɪˈʂɨmɨj]
некта́ром	nektárom	[nʲɪkˈtarəm]
посту́кивании	postúkivanii	[pɐˈstukʲɪvənʲɪɪ]
толстосу́ма	tolstosúma	[təlstɐˈsumə]
размазне́	razmazné	[rəzmɐzʲˈnʲe]
накрыва́ют	nakryvájut	[nəkrɨˈvajʊt]
